Domain,S.No,Project Title,No. of components required,Required Mapping
Robotics & Autonomous Systems,01,IoT Based Automated Fire Fighting Robot using Arduino and Flame Sensors,4,"Arduino, Flame Sensor, Motor Driver, DC Water Motor"
Robotics & Autonomous Systems,02,Autonomous Human Following Robot System using Arduino and IR Logic,4,"Arduino, IR Sensors x2, Motor Driver, DC Fans/Motors"
Robotics & Autonomous Systems,03,Smartphone Bluetooth Controlled Robot System for Remote Exploration using Arduino,4,"Arduino, Bluetooth, Motor Driver, DC Fans/Motors"
Robotics & Autonomous Systems,04,Autonomous Firefront Mapping and Wireless Safety Rover System using Arduino,4,"Arduino, Flame Sensor, Ultrasonic, Motor Driver"
Robotics & Autonomous Systems,05,Smart Blind Spot Radar Integrated Cycle Handle Vibration Alert System using Arduino,3,"Arduino, Ultrasonic, Servomotor"
Smart Agriculture & Irrigation,06,IoT Based Agriculture Monitoring and Soil Analysis System using Arduino,4,"Arduino, Soil Moisture, DHT11, WiFi Hub"
Smart Agriculture & Irrigation,07,IoT Based Automated Crop Irrigation Monitoring System using Arduino and Relay,4,"Arduino, Soil Moisture, Relay, Water Motor"
Smart Agriculture & Irrigation,08,IoT Based Smart Remote Irrigation Monitoring and Control System using Arduino,5,"Arduino, Soil Moisture, Water Level, Relay, WiFi"
Smart Agriculture & Irrigation,09,Smart Agriculture Soil Humidity and Nutrient Loop Control System using Arduino,4,"Arduino, Soil Moisture, Relay, Water Motor"
Smart Agriculture & Irrigation,10,Automated Smart Plant Aquaponics Controlling System using Arduino,4,"Arduino, Water Level, Relay, Water Motor"
Smart Agriculture & Irrigation,11,Smart Agricultural Grain Warehouse Heat Map and Aeration System using Arduino,3,"Arduino, DHT11, Relay, DC Fan"
Safety Security & Industrial,12,Anti-Theft Security and Sidewalk Navigation Assistive System using Arduino,3,"Arduino, Ultrasonic, Buzzer"
Safety Security & Industrial,13,IoT Based Industrial Safety Monitoring and Hazard Alerting System using NodeMCU Hub,4,"NodeMCU, IR, Flame, Buzzer"
Safety Security & Industrial,14,IoT Based Gas and Flame Detection Safety Alerting System using ESP32/WiFi Hub,4,"ESP32, Flame Sensor, WiFi, Buzzer, Relay"
Safety Security & Industrial,15,Synced Multi-Room Fire Evacuation and Emergency Sync Alarm System using Arduino,3,"Arduino, Flame, Buzzer, Relay"
Safety Security & Industrial,16,Home Security Anti-Theft Floor Mat Intrusion Detection System using Arduino,3,"Arduino, Ultrasonic, Bluetooth, Buzzer"
Safety Security & Industrial,17,IV Line Air-Embolism Prevention and Flow Stopper Safety System using Arduino,4,"Arduino, IR, Servomotor, Buzzer"
Safety Security & Industrial,18,Automated Smart Home Bathroom Aerated Occupancy Sensing System using Arduino,4,"Arduino, IR, DHT11, Relay, DC Fan"
Safety Security & Industrial,19,Automated Industrial Area Safety and Hazard Lockout System using Arduino,3,"Arduino, IR Sensor, Relay, DC Fan"
